Gene Name,CD Name,Common Name,NS Probe ID,Gene Class,Cell Type,IR Type,Immune Response Category,Annotation,Synonyms / Previous Symbols
MME,CD10,CD10,NM_000902.2:5059,Immune Response - Cell Type specific,,,Cell Functions,"Basic cell functions, Cell Type specific, CD molecules","CALLA, CD10, NEP"
MNX1,,HLXB9,NM_005515.3:1680,Immune Response,,H,,Humoral immune response,"HLXB9, HB9, HOXHB9, SCRA1"
MPPED1,,MPPED1,NM_001044370.1:1486,Immune Response - Cell Type specific,,,Cell Functions,"Basic cell functions, Cell Type specific","C22orf1, 239AB, FAM1A"
MR1,,MR1,NM_001531.2:7695,Immune Response,,,Antigen Processing,Antigen processing and presentation,HLALS
MRC1,CD206,MRC1,NM_002438.2:525,Immune Response,,,,CD molecules,"MRC1L1, CLEC13D, CD206, bA541I19.1, CLEC13DL"
MRPS5,,MRPS5,NM_031902.3:390,HK,,,,,"MRP-S5, S5mt"
MS4A1,CD20,CD20,NM_152866.2:620,Immune Response - Cell Type specific,B-cells,H,B-Cell Functions,"Basic cell functions, Cell Type specific, CD molecules, Humoral immune response","CD20, B1, Bp35, MS4A2"
MS4A2,,MS4A2,NM_000139.3:661,Immune Response - Cell Type specific,Mast cells,F;H,Chemokines,"Cell Type specific, Humoral immune response, Inflammatory response","FCER1B, IGER, APY, MS4A1"
MSR1,CD204,MSR1,NM_002445.3:326,Immune Response - Cell Type specific,,,Cell Functions,"Basic cell functions, Cell Type specific, CD molecules","SCARA1, CD204"
MST1R,CD136,MST1R,NM_002447.1:3300,Immune Response,,I,,"CD molecules, Innate immune response","RON, PTK8, CDw136, CD136"
MTMR14,,MTMR14,NM_022485.3:720,HK,,,,,"C3orf29, FLJ22405, FLJ90311, hJumpy, hEDTP"
MUC1,CD227,MUC1,NM_001018017.1:725,Immune Response,,,,CD molecules,"PUM, MCKD1, CD227, PEM, ADMCKD, ADMCKD1, MCKD, MCD"
MX1,,MX1,NM_002462.2:1485,Immune Response,,I,,Innate immune response,"IFI-78K, MxA"
MYD88,,MYD88,NM_002468.3:2145,Immune Response,,I,TLR,"Innate immune response, Toll-like receptor",
NCAM1,CD56,NCAM,NM_000615.5:1620,Immune Response,,,,CD molecules,"NCAM, CD56"
NCF4,,NCF4,NM_000631.4:210,Immune Response,,I,,Innate immune response,"p40phox, SH3PXD4"
NCR1,CD335,NKP46,NM_004829.5:602,Immune Response - Cell Type specific,NK cells,,"Cell Functions, NK Cell Functions","Basic cell functions, Cell Type specific, CD molecules, NK cell functions","LY94, NK-p46, NKP46, CD335"
NEFL,,NEFL,NM_006158.3:3300,Immune Response - Cell Type specific,,,Cell Functions,"Basic cell functions, Cell Type specific","NFL, CMT1F, CMT2E, NF68, PPP1R110"
NFATC1,,NFATC1,NM_172389.1:1984,Immune Response,,,Regulation,"Transcription factors, Transcriptional regulators","NF-ATC, NFATc, NFAT2"
NFATC2,,NFATC2,NM_012340.3:1815,Immune Response,,,Regulation,"Transcription factors, Transcriptional regulators","NF-ATP, NFATp, NFAT1"
NFATC3,,NFATC3,NM_004555.2:2190,Immune Response,,,Regulation,Transcriptional regulators,"NFAT4, NFATX"
NFATC4,,NFATC4,NM_001136022.2:2296,Immune Response - Cell Type specific,,F,,"Cell Type specific, Inflammatory response",NFAT3
NFKB1,,NFKB1,NM_003998.2:1675,Immune Response,,I,,Innate immune response,"KBF1, p105, NFKB-p50, p50, NF-kappaB, NFkappaB, NF-kB1"
NFKB2,,NFKB2,NM_002502.2:825,Immune Response,,I,,Innate immune response,"LYT-10, p52, p105, NF-kB2"
NFKBIA,,NFKBIA,NM_020529.1:945,Immune Response,,I,,Innate immune response,"NFKBI, IKBA, MAD-3, IkappaBalpha"
NLRC5,,NLRC5,NM_032206.4:860,Immune Response,,I,,Innate immune response,"NOD27, CLR16.1, FLJ21709"
NLRP3,,NLRP3,NM_001079821.2:415,Immune Response,,I,,Innate immune response,"C1orf7, CIAS1, AGTAVPRL, AII, AVP, FCAS, FCU, NALP3, PYPAF1, MWS, CLR1.1"
NOD1,,NOD1,NM_006092.1:3285,Immune Response,,I,,Innate immune response,"CARD4, NLRC1, CLR7.1"
NOD2,,NOD2,NM_022162.1:4080,Immune Response,,I,Cytokines,"Innate immune response, Cytokines and receptors","IBD1, CARD15, BLAU, CD, PSORAS1, CLR16.3, NLRC2"
NOL7,,NOL7,NM_016167.3:335,HK,,,,,"C6orf90, PQBP3, NOP27, RARG-1, dJ223E5.2"
NOS2A,,NOS2,NM_153292.1:546,Immune Response,,F,,Inflammatory response,"NOS, INOS, NOS2A, HEP-NOS, NOS2A"
NOTCH1,,NOTCH1,NM_017617.3:735,Immune Response,,,Regulation,Transcriptional regulators,TAN1
NRP1,CD304,NRP1,NM_003873.5:370,Immune Response,,,Cell Functions,"Basic cell functions, CD molecules","NRP, VEGF165R, CD304"
NT5E,CD73,NT5E,NM_002526.2:1214,Immune Response,,,Transporter Functions,"CD molecules, Phagocytosis","NT5, CD73, eN, eNT, CALJA"
NUBP1,,NUBP1,NM_001278506.1:304,HK,,,,,"NBP1, NBP35"
NUP107,,NUP107,NM_020401.2:1002,Immune Response - Cell Type specific,,,Cell Cycle,"Cell Type specific, M phase of mitotic cell cycle",NUP84
OAS3,,OAS3,NM_006187.2:4980,Immune Response - Cell Type specific,,,"Cytokines, Pathogen Defense","Cell Type specific, Cytokines and receptors, Defense response to virus",
OSM,,OSM,NM_020530.4:580,Immune Response,,,Cell Functions,Basic cell functions,MGC20461
PASD1,,PASD1,NM_173493.2:820,CT Antigen,,,,,CT63
PAX5,,PAX5,NM_016734.1:2288,Immune Response,,H,,Humoral immune response,BSAP
PBK,,PBK,NM_018492.2:1587,CT Antigen,,,,,"TOPK, FLJ14385, Nori-3, SPK, CT84"
PDCD1,CD279,PDCD1,NM_005018.1:175,Immune Response - Cell Type specific / Checkpoint,,A;H,Regulation,"Adaptive immune response, Cell Type specific, CD molecules, Humoral immune response, Negative regulation of immune response","SLEB2, CD279, PD1, hSLE1"
PDCD1LG2,CD273,PD-L2,NM_025239.3:235,Immune Response,,A,,"Adaptive immune response, CD molecules","PD-L2, Btdc, PDL2, bA574F11.2, CD273, B7-DC"
PDGFC,,PDGFC,NM_016205.2:1632,Immune Response,,,Cell Functions,Basic cell functions,"SCDGF, fallotein"
PDGFRB,CD140b,PDGFRB,NM_002609.3:840,Immune Response,,,,CD molecules,"PDGFR, JTK12, CD140b, PDGFR1"
PECAM1,CD31,PECAM1,NM_000442.3:1365,Immune Response,,,Transporter Functions,"CD molecules, Receptors involved in phagocytosis",CD31
PIK3CD,,PIK3CD,NM_005026.3:2978,Immune Response,,A;I,,"Adaptive immune response, Innate immune response",p110D
PIK3CG,,PIK3CG,NM_002649.2:2125,Immune Response,,A;I,,"Adaptive immune response, Innate immune response",
PIN1,,PIN1,NM_006221.2:434,Immune Response,,I,,Innate immune response,dod
PLA2G1B,,PLA2,NM_000928.2:396,Immune Response,,,Regulation,Positive regulation of immune response,"PLA2, PPLA2, PLA2A"
PLA2G6,,PLA2G6,NM_001004426.1:1954,Immune Response - Cell Type specific,,,Cell Functions,"Basic cell functions, Cell Type specific","iPLA2, PNPLA9, PARK14, iPLA2beta, NBIA2"
PLAU,,PLAU,NM_002658.2:793,Immune Response,,,Senescence,Senescence pathway,"URK, UPA"
PLAUR,CD87,PLAUR,NM_001005376.1:440,Immune Response,,,,CD molecules,"URKR, UPAR, CD87"
PMCH,,PMCH,NM_002674.2:172,Immune Response - Cell Type specific,,,Cell Functions,"Basic cell functions, Cell Type specific",MCH
PNMA1,,PNMA1,NM_006029.4:1565,Immune Response,,F,,Inflammatory response to antigenic stimulus,MA1
POLR2A,,POLR2A,NM_000937.2:3775,HK,,,,,"POLR2, POLRA, RPB1"
POU2AF1,,POU2AF1,NM_006235.2:1675,Immune Response,,H,,Humoral immune response,OBF1
POU2F2,,POU2F2,NM_002698.2:908,Immune Response,,H,,Humoral immune response,"OTF2, 41914"
PPARG,,PPARgamma,NM_015869.3:1035,Immune Response,,I,,Innate immune response,"PPARG1, PPARG2, NR1C3, PPARgamma"
PPBP,,CXCL7,NM_002704.2:330,Immune Response,,,Chemokines,Chemokines and receptors,"THBGB1, SCYB7, TGB, NAP-2-L1, LA-PF4, MDGF, LDGF, Beta-TG, CTAP3, CXCL7, PBP, b-TG1, TGB1, CTAPIII, NAP-2"
PPIA,,PPIA,NM_021130.2:925,HK,,,,,CYPA
PRAME,,PRAME,NM_006115.3:1390,CT Antigen,,,,,"MAPE, CT130"
PRF1,,PRF1,NM_005041.3:2120,Immune Response - Cell Type specific,Cytotoxic cells,A,"Cytotoxicity, Pathogen Defense","Adaptive immune response, Cell Type specific, Cytotoxicity, Defense response to tumor cell, Defense response to virus","PFP, P1, HPLH2"
PRG2,,PRG2,NM_002728.4:256,Immune Response - Cell Type specific,,,Pathogen Defense,"Cell Type specific, Defense response to bacterium","MBP, BMPG"
PRKCD,,PRKCD,NM_006254.3:2165,Immune Response,,,Senescence,Senescence initiators,
PRKCE,,PRKCE,NM_005400.2:1695,Immune Response,,,Macrophage Functions,Macrophage activation,
PRM1,,PRM1,NM_002761.2:319,CT Antigen,,,,,CT94.1
PRPF38A,,PRPF38A,NM_032864.3:335,HK,,,,,"FLJ14936, Prp38"
PSEN1,,PSEN1,NM_000021.2:900,Immune Response,,,Cell Functions,T-cell activation,"AD3, FAD, S182, PS1"
PSEN2,,PSEN2,NM_000447.2:915,Immune Response,,,Macrophage Functions,T-cell activation,"AD4, AD3L, STM2, PS2"
PSMB10,,PSMB10,NM_002801.2:221,Immune Response,,H,,Humoral immune response,"MECL1, LMP10, MGC1665, beta2i"
PSMB7,,PSMB7,NM_002799.2:420,Immune Response,,,Antigen Processing,Antigen processing and presentation,Z
PSMB8,,PSMB8,NM_004159.4:1215,Immune Response,,,Chemokines,Chemokines and receptors,"LMP7, RING10, D6S216E, PSMB5i, beta5i"
PSMB9,,PSMB9,NM_002800.4:455,Immune Response,,A,Antigen Processing,"Adaptive immune response, Antigen processing and presentation","LMP2, RING12, beta1i, PSMB6i"
PSMD7,,PSMD7,NM_002811.3:580,Immune Response,,,,CD molecules,"S12, P40, MOV34, Rpn8"
PTGDR2,CD294,GPR44,NM_004778.1:1835,Immune Response - Cell Type specific,,,Cell Functions,"Basic cell functions, Cell Type specific, CD molecules","GPR44, CRTH2, CD294, DP2"
PTGS2,,PTGS2,NM_000963.1:495,Immune Response,,,Cytokines,"Acute-phase response, Cytokines and receptors",COX2
PTPRC,CD45,CD45,NM_080921.3:258,Immune Response,CD45,,"B-Cell Functions, T-Cell Functions","B-cell proliferation, CD molecules, T-cell differentiation","CD45, LCA, T200, GP180"
PVR,CD155,PVR,NM_006505.3:604,Immune Response,,,Regulation,"CD molecules, Regulation of immune response","PVS, CD155, HVED, Necl-5, NECL5, Tage4"
PYCARD,,PYCARD,NM_013258.3:714,Immune Response,,I,,Innate immune response,"TMS-1, CARD5, ASC"
RAG1,,RAG1,NM_000448.2:2300,Immune Response,,A,"B-Cell Functions, T-Cell Functions","Adaptive immune response, B-cell differentiation","RNF74, MGC43321"
REL,,REL,NM_002908.2:225,Immune Response,,,Regulation,Transcription factors,"I-Rel, c-Rel"
RELA,,RELA,NM_021975.2:360,Immune Response,,I,,Innate immune response,"NFKB3, p65"
RELB,,RELB,NM_006509.2:250,Immune Response,,,Regulation,Transcription factors,REL-B
REPS1,,REPS1,NM_001128617.2:1288,Immune Response - Cell Type specific,,,Cell Functions,"Basic cell functions, Cell Type specific",
RIPK2,,RIPK2,NM_003821.5:1695,Immune Response,,I,,Innate immune response,"RICK, RIP2, CARDIAK, CARD3"
ROPN1,,ROPN1,NM_017578.2:195,CT Antigen,,,,,"ODF6, ropporin, ROPN1A, CT91"
RORA,,RORA,NM_134261.2:1715,Immune Response,,,Regulation,Transcription factors,"RZRA, ROR1, ROR2, ROR3, NR1F1"
RORC,,RORC,NM_001001523.1:1350,Immune Response - Cell Type specific,,,Cell Functions,"Basic cell functions, Cell Type specific","RZRG, RORG, NR1F3, TOR"
RPS6,,RPS6,NM_001010.2:171,Immune Response,,,Cell Functions,T-cell proliferation,S6
RRAD,,RRAD,NM_004165.1:960,Immune Response - Cell Type specific,,,Cell Functions,"Basic cell functions, Cell Type specific","REM3, RAD"
RUNX1,,RUNX1,NM_001754.4:635,Immune Response,,,Regulation,Transcription factors,"AML1, CBFA2, PEBP2A2, AMLCR1"
RUNX3,,RUNX3,NM_004350.1:2085,Immune Response,,,Regulation,Transcription factors,"CBFA3, AML2, PEBP2A3"
S100A12,,S100A12,NM_005621.1:260,Immune Response,Neutrophils,I,,Innate immune response,"p6, MRP6, CGRP, CAAF1, CAGC, ENRAGE"
S100A7,,S100A7,NM_002963.2:69,Immune Response,,I,,Innate immune response,"PSOR1, S100A7c"
S100A8,,S100A8,NM_002964.3:115,Immune Response,,F,,Inflammatory response,"CAGA, CFAG, P8, MRP8, 60B8AG, CGLA"
S100B,,S100B,NM_006272.1:85,Immune Response,,I,,Innate immune response,S100beta
SAA1,,SAA1,NM_199161.1:135,Immune Response,,I,,Innate immune response,"SAA, PIG4, TP53I4"
SAP130,,SAP130,NM_024545.3:3090,HK,,,,,FLJ12761
SBNO2,,SBNO2,NM_014963.2:2002,Immune Response,,,Macrophage Functions,Macrophage activation,"KIAA0963, FLJ00173, Stno, Sno"
SDHA,,SDHA,NM_004168.1:230,HK,,,,,"SDH2, FP, SDHF"
SELE,CD62E,CD62E,NM_000450.2:1505,Immune Response,,F,Regulation,"CD molecules, Regulation of inflammatory response","ELAM1, ELAM, ESEL, CD62E"
SELL,CD62L,CD62L,NR_029467.1:1585,Immune Response,,,Regulation,"CD molecules, Regulation of immune response","LYAM1, LNHR, LSEL, LAM1, LAM-1, hLHRc, Leu-8, Lyam-1, PLNHR, CD62L"
SELPLG,CD162,SELPLG,NM_001206609.1:326,Immune Response,,,,CD molecules,"PSGL-1, CD162"
SEMG1,,SEMG1,NM_003007.2:1290,CT Antigen,,,,,"SEMG, CT103"
SERPINB2,,SERPINB2,NM_002575.1:305,Immune Response,,,Senescence,Senescence initiators interferon related,"PLANH2, PAI2, HsT1201"
SERPING1,,SERPING1,NM_000062.2:305,Immune Response,,I,,Innate immune response,"C1NH, C1IN, C1-INH, HAE1, HAE2"
SF3A3,,SF3A3,NM_006802.2:2060,HK,,,,,"SF3a60, SAP61, PRP9, PRPF9"
SH2B2,,SH2B2,NM_020979.3:1567,Immune Response,,,Regulation,Regulation of immune response,APS
SH2D1A,,SH2D1A,NM_001114937.2:495,Immune Response,T-cells,H,,Humoral immune response,"IMD5, LYP, XLP, MTCP1, DSHP, XLPD, EBVS, SAP"
SH2D1B,,SH2D1B,NM_053282.4:545,Immune Response,,,Leukocyte Functions,Leukocyte activation,EAT2
SIGIRR,,SIGIRR,NM_021805.2:469,Immune Response,,I,,Innate immune response,TIR8
SIGLEC1,CD169,SIGLEC-1,NM_023068.3:5165,Immune Response,,,Transporter Functions,"CD molecules, Phagocytosis recognition and engulfment","SN, SIGLEC-1, CD169, FLJ00051, FLJ00055, FLJ00073, FLJ32150, dJ1009E24.1, sialoadhesin"
SLAMF1,CD150,SLAM,NM_003037.2:580,Immune Response,,A,,"CD molecules, Adaptive immune response","SLAM, CD150"
SLAMF6,CD352,SLAMF6,NM_001184714.1:1032,Immune Response,,,,CD molecules,"KALI, NTBA, KALIb, Ly108, SF2000, NTB-A, CD352"
SLAMF7,CD319,SLAMF7,NM_021181.3:215,Immune Response,,I,,"CD molecules, Innate immune response","CRACC, 19A, CS1, CD319"
SLC11A1,,NRAMP1,NM_000578.2:1965,Immune Response,,,Macrophage Functions,T-cell proliferation,"LSH, NRAMP, NRAMP1"
SMAD2,,SMAD2,NM_005901.5:1678,Immune Response - Cell Type specific,,,Cell Functions,"Basic cell functions, Cell Type specific","MADH2, MADR2, JV18-1"
SMAD3,,SMAD3,NM_005902.3:4220,Immune Response,,,Regulation,Regulation of immune response,"MADH3, JV15-2, HsT17436"
SMPD3,,SMPD3,NM_018667.3:4733,Immune Response - Cell Type specific,,,Cell Functions,"Basic cell functions, Cell Type specific",NSMASE2
SOCS1,,SOCS1,NM_003745.1:1025,Immune Response,,,"B-Cell Functions, Cell Functions, T-Cell Functions",T-cell differentiation,"SOCS-1, SSI-1, JAB, TIP3, Cish1"
SPA17,,SPA17,NM_017425.3:175,CT Antigen,,,,,"SP17, CT22"
SPACA3,,SPACA3,NM_173847.3:112,CT Antigen,,,,,"ALLP17, SLLP1, LYC3, LYZL3, CT54"
SPANXB1,,SPANXB1,NM_032461.2:321,CT Antigen,,,,,CT11.2
SPINK5,,SPINK5,NM_006846.3:2595,Immune Response,,,Regulation,Negative regulation of immune response,"VAKTI, LEKTI, LETKI, NETS, NS, FLJ21544, FLJ97536, FLJ97596, FLJ99794, DKFZp686K19184"
SPN,CD43,SPN,NM_003123.3:2345,Immune Response,,,Regulation,"CD molecules, Regulation of immune response","LSN, CD43, GPL115"
SPO11,,SPO11,NM_198265.1:492,CT Antigen,,,,,"CT35, SPATA43, TOPVIA"
SPP1,,SPP1,NM_000582.2:760,Immune Response,,,Cytokines,Cytokines and receptors,"BNSP, OPN, BSPI, ETA-1"
SSX1,,SSX1,NM_005635.2:174,CT Antigen,,,,,CT5.1
SSX4,,SSX4,NM_005636.3:140,CT Antigen,,,,,CT5.4
ST6GAL1,,ST6GAL1,NM_003032.2:1300,Immune Response,,H,,Humoral immune response,SIAT1
STAT1,,STAT1,NM_007315.2:205,Immune Response,,I,"Chemokines, Regulation","Cytokines and receptors, Transcription factors, Transcriptional regulators","STAT91, ISGF-3"
STAT2,,STAT2,NM_005419.2:1965,Immune Response,,,"Chemokines, Regulation","Cytokines and receptors, Transcription factors, Transcriptional regulators",STAT113
STAT3,,STAT3,NM_139276.2:4535,Immune Response,,F,"Chemokines, Regulation","Cytokines and receptors, Transcription factors, Transcriptional regulators",APRF
STAT4,,STAT4,NM_003151.2:789,Immune Response - Cell Type specific,,A,"Chemokines, Regulation, T-Cell Functions","Adaptive immune response, Cytokines and receptors, Cell Type specific, Transcription factors, Transcriptional regulators, Th1 orientation",
STAT5B,,STAT5B,NM_012448.3:200,Immune Response,,A,"Chemokines, Regulation","Adaptive immune response, Cytokines and receptors, Transcription factors, Transcriptional regulators",
STAT6,,STAT6,NM_003153.3:2030,Immune Response - Cell Type specific,,A,"Chemokines, Regulation, T-Cell Functions","Adaptive immune response, Cytokines and receptors, Cell Type specific, Th2 orientation, Transcription factors, Transcriptional regulators","D12S1644, IL-4-STAT"
SYCP1,,SYCP1,NM_003176.2:230,CT Antigen,,,,,"HOM-TES-14, SCP1, CT8"
SYK,,SYK,NM_003177.3:1685,Immune Response,,A;I,Macrophage Functions,"Macrophage activation, Adaptive immune response, Innate immune response",
SYT17,,SYT17,NM_016524.2:1150,Immune Response - Cell Type specific,,,Cell Functions,"Basic cell functions, Cell Type specific",
TAB1,,TAB1,NM_153497.2:614,Immune Response,,I,,Innate immune response,MAP3K7IP1
TAL1,,TAL1,NM_003189.2:4635,Immune Response,,A,Regulation,"Transcription factors, Adaptive immune response","TCL5, SCL, bHLHa17"
TANK,,TANK,NM_004180.2:110,Immune Response,,I,,Innate immune response,"TRAF2, I-TRAF"
TAP1,,TAP1,NM_000593.5:2075,Immune Response,,,Antigen Processing,"Adaptive immune response, Antigen processing and presentation","ABCB2, PSF1, RING4, D6S114E"
TAP2,,TAP2,NM_000544.3:909,Immune Response,,,Antigen Processing,"Adaptive immune response, Antigen processing and presentation","ABCB3, PSF2, RING11, D6S217E"
TAPBP,,TAPBP,NM_003190.4:1536,Immune Response,,,Antigen Processing,"Adaptive immune response, Antigen processing and presentation",TAPA
TARP,,TCRG,NM_001003799.1:560,Immune Response - Cell Type specific,,,Cell Functions,"Basic cell functions, Cell Type specific","CD3G, TCRG, TCRGC1, TCRGC2"
TBK1,,TBK1,NM_013254.2:1610,Immune Response,,I,,Innate immune response,NAK
TBP,,TBP,NM_001172085.1:587,HK,,,,,"GTF2D1, SCA17, TFIID"
TBX21,,TBX21,NM_013351.1:890,Immune Response - Cell Type specific,Th1 cells,,"Regulation, T-Cell Functions","Adaptive immune response, Cell Type specific, Regulation of immune response, Th1 orientation","TBLYM, T-bet"
TCF7,,TCF7,NM_003202.2:2420,Immune Response,,,Regulation,Transcription factors,TCF-1
TFE3,,TFE3,NM_006521.3:2935,Immune Response,,H,,Humoral immune response,"TFEA, bHLHe33"
TFEB,,TFEB,NM_007162.2:2026,Immune Response,,H,,Humoral immune response,"TCFEB, bHLHe35"
TFRC,CD71,CD71,NM_003234.1:1220,Immune Response,,,,CD molecules,"CD71, TFR1, p90"
TGFB1,,TGFB1,NM_000660.3:1260,Immune Response,,,"Interleukins, Regulation","Immunosuppression, Interleukins, Negative regulation of immune response","TGFB, DPD1, CED, TGFbeta"
TGFB2,,TGFB2,NM_003238.2:1125,Immune Response,,,Interleukins,"Immunosuppression, Interleukins",
THBD,CD141,THBD,NM_000361.2:1246,Immune Response,,,Leukocyte Functions,"CD molecules, Leukocyte migration",CD141
THBS1,,THBS1,NM_003246.2:3465,Immune Response - Cell Type specific,,F,"Antigen Processing, Cell Cycle, Regulation","Cell cycle arrest, Cell Type specific, Chronic inflammatory response, Negative regulation of antigen processing","TSP1, THBS, TSP, THBS-1, TSP-1"
THY1,CD90,THY1,NM_006288.2:135,Immune Response,,,,CD molecules,CD90
TICAM1,,TICAM1,NM_014261.1:518,Immune Response,,I,Macrophage Functions,"Macrophage activation, Innate immune response","TRIF, TICAM-1, MGC35334, PRVTIRB"
TICAM2,,TICAM2,NM_021649.4:3234,Immune Response,,I,,Innate immune response,"TRAM, TICAM-2, TIRP"
TIGIT,,TIGIT,NM_173799.2:1968,Immune Response,,A,T-Cell Functions,"Adaptive immune response, T-cell activation","VSIG9, VSTM3, FLJ39873, DKFZp667A205"
TIRAP,,TIRAP,NM_148910.2:661,Immune Response,,I,,Innate immune response,"Mal, wyatt"
TLK2,,TLK2,NM_006852.2:2335,HK,,,,,"PKU-ALPHA, MGC44450"
TLR1,CD281,TLR1,NM_003263.3:545,Immune Response,,I,"Microglial Functions, TLR","CD molecules, Innate immune response, Microglial cell activation, Toll-like receptor","rsc786, KIAA0012, CD281"
TLR10,CD290,TLR10,NM_030956.2:2246,Immune Response,,I,TLR,"CD molecules, Innate immune response, Toll-like receptor",CD290
TLR2,CD282,TLR2,NM_003264.3:180,Immune Response,,I,TLR,"CD molecules, Innate immune response, Toll-like receptor","TIL4, CD282"
TLR3,CD283,TLR3,NM_003265.2:230,Immune Response,,I,"Microglial Functions, TLR","CD molecules, Innate immune response, Microglial cell activation, Toll-like receptor",CD283
TLR4,CD284,TLR4,NM_138554.2:2570,Immune Response,,I,"Microglial Functions, TLR","CD molecules, Innate immune response, Microglial cell activation, Toll-like receptor","hToll, CD284, TLR-4, ARMD10"
TLR5,,TLR5,NM_003268.3:215,Immune Response,,I,TLR,"Innate immune response, Toll-like receptor","SLEB1, TIL3, FLJ10052, MGC126430, MGC126431"
TLR6,CD286,TLR6,NM_006068.2:2530,Immune Response,,I,TLR,"CD molecules, Innate immune response, Toll-like receptor",CD286
TLR7,,TLR7,NM_016562.3:4120,Immune Response,,I,"Microglial Functions, TLR","Microglial cell activation, Innate immune response, Toll-like receptor",
TLR8,CD288,TLR8,NM_016610.2:2310,Immune Response,,I,TLR,"CD molecules, Innate immune response, Toll-like receptor",CD288
TLR9,CD289,TLR9,NM_017442.2:985,Immune Response,,I,TLR,"CD molecules, Innate immune response, Toll-like receptor",CD289
TMEFF2,,TMEFF2,NM_016192.2:972,CT Antigen,,,,,"TENB2, HPP1, TR, TPEF, CT120.2"
TMUB2,,TMUB2,NM_024107.2:1485,HK,,,,,MGC3123
TNF,,TNF-alpha,NM_000594.2:1010,Immune Response,,H,"Interleukins, TNF Superfamily","Humoral immune response, Interleukins, TNF superfamily members and their receptors","TNFA, TNFSF2, DIF, TNF-alpha"
TNFAIP3,,TNFAIP3,NM_006290.2:260,Immune Response,,I,TNF Superfamily,"Innate immune response, TNF superfamily members and their receptors","A20, OTUD7C"
TNFRSF10B,CD262,TNFRSF10B,NM_003842.3:565,Immune Response,,,TNF Superfamily,"CD molecules, TNF superfamily members and their receptors","DR5, KILLER, TRICK2A, TRAIL-R2, TRICKB, CD262"
TNFRSF10C,CD263,TNFRSF10C,NM_003841.3:682,Immune Response,,,TNF Superfamily,"CD molecules, TNF superfamily members and their receptors","DcR1, TRAILR3, LIT, TRID, CD263"
TNFRSF11A,CD265,RANK,NM_003839.2:490,Immune Response,,A,TNF Superfamily,"Adaptive immune response, CD molecules, TNF superfamily members and their receptors","PDB2, LOH18CR1, RANK, CD265, FEO"
TNFRSF11B,,TNFRSF11B,NM_002546.2:1075,Immune Response,,,TNF Superfamily,TNF superfamily members and their receptors,"OPG, OCIF, TR1"
TNFRSF12A,CD266,TNFRSF12A,NM_016639.1:575,Immune Response,,,TNF Superfamily,"CD molecules, TNF superfamily members and their receptors","FN14, TweakR, CD266"
TNFRSF13B,CD267,TACI,NM_012452.2:160,Immune Response,,,"Chemokines, TNF Superfamily","CD molecules, Chemokines and receptors, TNF superfamily members and their receptors","TACI, CD267"
TNFRSF13C,CD268,TNFRSF13C,NM_052945.3:789,Immune Response,,,"Regulation, TNF Superfamily","CD molecules, Regulation of immune response, TNF superfamily members and their receptors","BAFFR, CD268"
TNFRSF14,CD270,TNFRSF14,NM_003820.2:916,Immune Response,,,"B-Cell Functions, Regulation, T-Cell Functions, TNF Superfamily","CD molecules, T-cell regulators, TNF superfamily members and their receptors","HVEM, ATAR, TR2, LIGHTR, HVEA, CD270"
TNFRSF17,CD269,TNFRSF17,NM_001192.2:635,Immune Response - Cell Type specific,B-cells,,"Cell Functions, TNF Superfamily","Basic cell functions, Cell Type specific, CD molecules, TNF superfamily members and their receptors","BCMA, BCM, CD269, TNFRSF13A"
TNFRSF18,CD357,GITR,NM_004195.2:445,Immune Response,,,TNF Superfamily,TNF superfamily members and their receptors,"AITR, GITR, CD357"
TNFRSF1A,CD120a,TNFRSF1A,NM_001065.2:515,Immune Response,,,"Chemokines, TNF Superfamily","CD molecules, Chemokines and receptors, TNF superfamily members and their receptors","TNFR1, TNF-R, TNFAR, TNFR60, TNF-R-I, CD120a, TNF-R55"
TNFRSF1B,CD120b,TNFRSF1B,NM_001066.2:835,Immune Response,,,"Chemokines, TNF Superfamily","CD molecules, Chemokines and receptors, TNF superfamily members and their receptors","TNFR2, TNFBR, TNFR80, TNF-R75, TNF-R-II, p75, CD120b"
TNFRSF4,CD134,OX40,NM_003327.2:200,Immune Response - Checkpoint,,,TNF Superfamily,"CD molecules, TNF superfamily members and their receptors","TXGP1L, ACT35, OX40, CD134"
TNFRSF8,CD30,CD30,NM_152942.2:2030,Immune Response,,,TNF Superfamily,"CD molecules, TNF superfamily members and their receptors","CD30, D1S166E, KI-1"
TNFRSF9,CD137,CD137,NM_001561.4:255,Immune Response - Checkpoint,,,TNF Superfamily,"CD molecules, TNF superfamily members and their receptors","ILA, CD137, 4-1BB"
TNFSF10,CD253,TRAIL,NM_003810.2:115,Immune Response,,,"Cell Cycle, Cytokines, Regulation, TNF Superfamily","CD molecules, Co-Regulators of autophagy and apoptosis/cell cycle, Cytokines and receptors, TNF superfamily members and their receptors","TRAIL, Apo-2L, TL2, CD253"
TNFSF11,CD254,RANKL,NM_003701.2:490,Immune Response,,,"TNF Superfamily, Transporter Functions","CD molecules, Phagosome processing, TNF superfamily members and their receptors","TRANCE, RANKL, OPGL, ODF, CD254"
TNFSF12,,TWEAK,NM_003809.2:339,Immune Response,,,"Chemokines, TNF Superfamily","Chemokines and receptors, TNF superfamily members and their receptors","TWEAK, DR3LG, APO3L"
